Time,Emotion
2024-04-18 11:48:25.183364,sad
2024-04-18 11:48:25.455741,sad
2024-04-18 11:48:25.650784,sad
2024-04-18 11:48:25.816011,sad
2024-04-18 11:48:25.983014,neutral
2024-04-18 11:48:26.147929,neutral
2024-04-18 11:48:26.313970,neutral
2024-04-18 11:48:26.446899,fear
2024-04-18 11:48:26.581802,neutral
2024-04-18 11:48:26.715363,neutral
2024-04-18 11:48:26.890192,neutral
2024-04-18 11:48:27.049847,neutral
2024-04-18 11:48:27.223851,neutral
2024-04-18 11:48:27.389441,sad
2024-04-18 11:48:27.514972,sad
2024-04-18 11:48:27.648064,sad
2024-04-18 11:48:27.780537,neutral
2024-04-18 11:48:27.947225,angry
2024-04-18 11:48:28.117760,angry
2024-04-18 11:48:28.289699,sad
2024-04-18 11:48:28.447853,sad
2024-04-18 11:48:28.580284,angry
2024-04-18 11:48:28.755814,angry
2024-04-18 11:48:28.916529,angry
2024-04-18 11:48:29.084999,angry
2024-04-18 11:48:29.248469,neutral
2024-04-18 11:48:29.448592,angry
2024-04-18 11:48:29.648234,angry
2024-04-18 11:48:29.886129,angry
2024-04-18 11:48:30.125304,angry
2024-04-18 11:48:30.351770,angry
2024-04-18 11:48:30.586564,neutral
2024-04-18 11:48:30.816768,fear
2024-04-18 11:48:31.019674,angry
2024-04-18 11:48:31.215745,neutral
2024-04-18 11:48:31.416429,angry
2024-04-18 11:48:31.615519,angry
2024-04-18 11:48:31.817038,neutral
2024-04-18 11:48:32.123015,fear
2024-04-18 11:48:32.327301,angry
2024-04-18 11:48:32.558481,neutral
2024-04-18 11:48:32.789513,angry
2024-04-18 11:48:33.020596,neutral
