Time,Emotion
2024-04-16 22:39:20.875527,angry
2024-04-16 22:39:21.467677,fear
2024-04-16 22:39:21.670776,neutral
2024-04-16 22:39:21.834089,fear
2024-04-16 22:39:22.003973,fear
2024-04-16 22:39:22.169294,fear
2024-04-16 22:39:22.333124,fear
2024-04-16 22:39:22.502272,fear
2024-04-16 22:39:22.668795,fear
2024-04-16 22:39:22.834341,fear
2024-04-16 22:39:23.002241,fear
2024-04-16 22:39:23.170780,neutral
2024-04-16 22:39:23.334807,neutral
2024-04-16 22:39:23.501703,neutral
2024-04-16 22:39:23.669223,neutral
2024-04-16 22:39:23.834245,fear
2024-04-16 22:39:24.002971,fear
2024-04-16 22:39:24.169125,fear
2024-04-16 22:39:24.336188,fear
2024-04-16 22:39:24.502524,fear
2024-04-16 22:39:24.669586,fear
2024-04-16 22:39:24.836165,fear
