Time,Emotion
2024-04-19 23:00:49.945108,angry
2024-04-19 23:00:50.139086,fear
2024-04-19 23:00:50.372272,happy
2024-04-19 23:00:50.579984,happy
2024-04-19 23:00:50.780562,happy
2024-04-19 23:00:50.940274,happy
2024-04-19 23:00:51.112254,happy
2024-04-19 23:00:51.273829,happy
2024-04-19 23:00:51.444414,happy
2024-04-19 23:00:51.606389,happy
2024-04-19 23:00:51.776663,happy
2024-04-19 23:00:51.941360,happy
2024-04-19 23:00:52.113580,happy
2024-04-19 23:00:52.277855,happy
2024-04-19 23:00:52.441315,happy
2024-04-19 23:00:52.611034,happy
2024-04-19 23:00:52.773499,happy
2024-04-19 23:00:52.941787,happy
2024-04-19 23:00:53.114811,happy
2024-04-19 23:00:53.274553,happy
2024-04-19 23:00:53.453468,happy
2024-04-19 23:00:53.646147,happy
2024-04-19 23:00:53.808220,happy
2024-04-19 23:00:53.980643,happy
2024-04-19 23:00:54.140800,happy
2024-04-19 23:00:54.315150,happy
2024-04-19 23:00:54.475477,happy
2024-04-19 23:00:54.647384,happy
2024-04-19 23:00:54.846116,happy
2024-04-19 23:00:55.007886,happy
2024-04-19 23:00:55.181141,happy
2024-04-19 23:00:55.342102,happy
